R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,no_of_rounds,R_Height,R_Weight,R_Reach,R_Stance,R_DOB,B_height,B_Weight,B_Reach,B_Stance,B_DOB
Bevon Lewis,Darren Stewart,0,0,0.36,0.41,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 08, 2019","Chicago, Illinois, USA",Middleweight Bout,Blue,84,31,73,30,98,45,84,40,5,0,0,0,49,13,52,11,23,12,6,5,12,6,15,14,62,15,55,18,22,16,18,12,0,0,0,0,Middleweight,3,190.5,185.0,200.66,Orthodox,"May 05, 1991",182.88,185.0,187.96,Orthodox,"Dec 30, 1990"
Eddie Wineland,Grigorii Popov,2,0,0.43,0.36,0.0,0.0,0,0,0,0,0,0,KO/TKO,2,4:47,3 Rnd (5-5-5),Kevin MacDonald,"June 08, 2019","Chicago, Illinois, USA",Bantamweight Bout,Red,171,74,150,55,171,74,150,55,2,0,1,0,129,48,97,24,39,23,39,20,3,3,14,11,165,70,146,52,1,0,4,3,5,4,0,0,Bantamweight,3,170.18,135.0,175.26,Orthodox,"Jun 26, 1984",170.18,135.0,172.72,Switch,"Apr 18, 1984"
Katlyn Chookagian,Joanne Calderwood,0,0,0.37,0.42,0.0,0.75,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"June 08, 2019","Chicago, Illinois, USA",Women's Flyweight Bout,Red,221,82,266,112,250,108,300,141,2,0,4,3,179,50,139,24,27,20,40,19,15,12,87,69,215,78,252,104,5,3,12,7,1,1,2,1,Women's Flyweight,3,175.26,125.0,172.72,Orthodox,"Dec 28, 1988",167.64000000000001,125.0,165.1,Orthodox,"Dec 23, 1985"
Alexander Gustafsson,Anthony Smith,0,0,0.47,0.47,0.33,0.0,0,1,1,1,0,0,Submission,4,2:38,5 Rnd (5-5-5-5-5),Marc Goddard,"June 01, 2019","Stockholm, Sweden",Light Heavyweight Bout,Blue,151,72,104,49,152,73,107,51,3,1,1,0,79,26,62,19,21,8,19,11,51,38,23,19,147,70,98,44,1,0,1,0,3,2,5,5,Light Heavyweight,5,195.57999999999998,205.0,200.66,Orthodox,"Jan 15, 1987",193.04,205.0,193.04,Orthodox,"Jul 26, 1988"
Jimi Manuwa,Aleksandar Rakic,0,1,0.66,0.28,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,0:47,3 Rnd (5-5-5),Kevin Sataki,"June 01, 2019","Stockholm, Sweden",Light Heavyweight Bout,Blue,3,2,7,2,3,2,7,2,0,0,0,0,2,1,5,1,0,0,0,0,1,1,2,1,3,2,7,2,0,0,0,0,0,0,0,0,Light Heavyweight,3,185.42,205.0,200.66,Orthodox,"Feb 18, 1980",193.04,205.0,198.12,Orthodox,"Feb 06, 1992"
Makwan Amirkhani,Chris Fishgold,0,0,0.33,0.3,0.5,0.0,1,0,2,0,0,0,Submission,2,4:25,3 Rnd (5-5-5),Marc Goddard,"June 01, 2019","Stockholm, Sweden",Featherweight Bout,Red,27,9,52,16,36,18,52,16,2,1,0,0,21,6,30,4,3,1,5,3,3,2,17,9,23,6,52,16,0,0,0,0,4,3,0,0,Featherweight,3,177.8,145.0,182.88,Southpaw,"Nov 08, 1988",172.72,145.0,172.72,Orthodox,"Jun 06, 1992"
Damir Hadzovic,Christos Giagos,0,0,0.39,0.41,1.0,0.46,0,0,0,3,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,"June 01, 2019","Stockholm, Sweden",Lightweight Bout,Blue,61,24,113,47,87,42,141,67,1,1,13,6,48,20,90,28,12,3,16,12,1,1,7,7,45,14,91,38,6,5,10,6,10,5,12,3,Lightweight,3,175.26,155.0,177.8,Orthodox,"Aug 08, 1986",177.8,155.0,180.34,Orthodox,"Jan 23, 1990"
Daniel Teymur,Sung Bin Jo,0,0,0.48,0.33,0.16,0.33,0,1,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rebin Saber,"June 01, 2019","Stockholm, Sweden",Featherweight Bout,Red,83,40,63,21,93,49,65,23,6,1,3,1,53,22,53,13,6,5,9,7,24,13,1,1,57,24,52,12,11,8,10,8,15,8,1,1,Featherweight,3,165.1,145.0,175.26,Orthodox,"Feb 03, 1988",182.88,145.0,182.88,Orthodox,"Jul 17, 1992"
Rostem Akman,Sergey Khandozhko,0,1,0.39,0.4,0.4,0.16,0,0,1,1,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"June 01, 2019","Stockholm, Sweden",Welterweight Bout,Blue,100,39,149,60,103,40,151,60,5,2,6,1,91,30,100,30,6,6,27,11,3,3,22,19,91,31,141,55,9,8,8,5,0,0,0,0,Welterweight,3,177.8,170.0,182.88,Switch,"Dec 19, 1991",185.42,170.0,187.96,Orthodox,"May 19, 1992"
Tonya Evinger,Lina Lansberg,0,0,0.54,0.73,0.25,0.5,0,0,2,2,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,"June 01, 2019","Stockholm, Sweden",Women's Bantamweight Bout,Blue,11,6,68,50,83,68,181,151,4,1,2,1,7,2,62,45,4,4,6,5,0,0,0,0,9,4,4,1,1,1,10,7,1,1,54,42,Women's Bantamweight,3,170.18,135.0,177.8,Orthodox,"Jun 04, 1981",170.18,135.0,165.1,Orthodox,"Mar 13, 1982"
