R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,no_of_rounds,R_Height,R_Weight,R_Reach,R_Stance,R_DOB,B_height,B_Weight,B_Reach,B_Stance,B_DOB
Rose Namajunas,Tecia Torres,0,0,0.29,0.5,0.5,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"April 16, 2016","Tampa, Florida, USA",Women's Strawweight Bout,Red,156,46,121,61,160,48,155,93,4,2,1,0,126,27,74,20,25,15,18,13,5,4,29,28,145,41,108,51,3,0,12,9,8,5,1,1,Women's Strawweight,3,165.1,115.0,165.1,Orthodox,"Jun 29, 1992",154.94,115.0,152.4,Orthodox,"Aug 16, 1989"
Khabib Nurmagomedov,Darrell Horcher,0,0,0.71,0.22,0.66,0.0,0,0,7,0,0,0,KO/TKO,2,3:38,3 Rnd (5-5-5),James Warring,"April 16, 2016","Tampa, Florida, USA",Catch Weight Bout,Red,105,75,27,6,139,107,42,18,3,2,0,0,103,73,23,4,0,0,3,1,2,2,1,1,10,3,26,5,1,1,0,0,94,71,1,1,Catch Weight,3,177.8,155.0,177.8,Orthodox,"Sep 20, 1988",177.8,155.0,177.8,Southpaw,"Jul 28, 1987"
Cub Swanson,Hacran Dias,2,0,0.56,0.41,0.0,0.0,0,0,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"April 16, 2016","Tampa, Florida, USA",Featherweight Bout,Red,148,83,131,55,161,95,136,58,0,0,1,0,92,36,103,37,28,23,12,5,28,24,16,13,108,53,126,54,2,2,3,1,38,28,2,0,Featherweight,3,172.72,145.0,177.8,Orthodox,"Nov 02, 1983",172.72,155.0,175.26,Orthodox,"Jun 16, 1984"
Beneil Dariush,Michael Chiesa,0,0,0.5,0.21,0.25,0.5,0,2,0,1,0,0,Submission,2,1:20,3 Rnd (5-5-5),Dan Miragliotta,"April 16, 2016","Tampa, Florida, USA",Lightweight Bout,Blue,53,27,52,11,53,27,53,12,4,1,2,1,33,11,45,7,7,4,4,1,13,12,3,3,47,24,47,9,6,3,5,2,0,0,0,0,Lightweight,3,177.8,155.0,182.88,Southpaw,"May 06, 1989",185.42,170.0,190.5,Southpaw,"Dec 07, 1987"
Bethe Correia,Raquel Pennington,0,0,0.38,0.57,0.0,0.0,0,0,0,0,0,0,Decision - Split,3,5:00,3 Rnd (5-5-5),James Warring,"April 16, 2016","Tampa, Florida, USA",Women's Bantamweight Bout,Blue,171,66,130,75,209,99,139,84,1,0,4,0,137,45,96,45,23,13,26,22,11,8,8,8,141,47,89,46,30,19,41,29,0,0,0,0,Women's Bantamweight,3,165.1,135.0,162.56,Orthodox,"Jun 22, 1983",170.18,135.0,170.18,Orthodox,"Sep 05, 1988"
Court McGee,Santiago Ponzinibbio,0,1,0.36,0.52,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,4:15,3 Rnd (5-5-5),Herb Dean,"April 16, 2016","Tampa, Florida, USA",Welterweight Bout,Blue,95,35,73,38,98,37,74,39,4,0,0,0,78,26,65,34,10,4,4,0,7,5,4,4,94,34,58,31,1,1,10,4,0,0,5,3,Welterweight,3,180.34,170.0,190.5,Orthodox,"Dec 12, 1984",182.88,170.0,185.42000000000002,Orthodox,"Sep 26, 1986"
Randy Brown,Michael Graves,0,0,0.52,0.5,0.0,0.28,1,1,0,2,0,0,Submission,2,2:31,3 Rnd (5-5-5),Dan Miragliotta,"April 16, 2016","Tampa, Florida, USA",Welterweight Bout,Blue,19,10,22,11,35,24,40,26,1,0,7,2,16,7,20,10,3,3,1,1,0,0,1,0,11,3,3,0,7,6,2,2,1,1,17,9,Welterweight,3,190.5,170.0,198.12,Orthodox,"Jul 08, 1990",177.8,170.0,180.34,,"Jan 08, 1991"
John Dodson,Manvel Gamburyan,1,0,0.84,1.0,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,0:37,3 Rnd (5-5-5),James Warring,"April 16, 2016","Tampa, Florida, USA",Bantamweight Bout,Red,19,16,2,2,21,18,3,2,0,0,0,0,18,15,1,1,1,1,0,0,0,0,1,1,6,5,2,2,10,9,0,0,3,2,0,0,Bantamweight,3,160.02,135.0,167.64000000000001,Orthodox,"Sep 26, 1984",165.1,135.0,170.18,Orthodox,"May 08, 1981"
Oluwale Bamgbose,Cezar Ferreira,1,0,0.39,0.44,0.0,0.6,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"April 16, 2016","Tampa, Florida, USA",Middleweight Bout,Blue,51,20,58,26,107,66,99,62,0,0,5,3,41,13,47,21,5,3,4,1,5,4,7,4,36,12,27,8,0,0,0,0,15,8,31,18,Middleweight,3,180.34,185.0,198.12,Switch,"Aug 04, 1987",185.42,185.0,198.12,Southpaw,"Feb 15, 1985"
Elizeu Zaleski dos Santos,Omari Akhmedov,0,0,0.49,0.34,0.0,0.42,1,1,2,1,1,0,KO/TKO,3,3:03,3 Rnd (5-5-5),Dan Miragliotta,"April 16, 2016","Tampa, Florida, USA",Welterweight Bout,Red,146,72,105,36,152,78,129,57,3,0,7,3,119,50,90,28,23,18,11,6,4,4,4,2,100,35,86,22,45,36,14,11,1,1,5,3,Welterweight,3,180.34,170.0,185.42000000000002,Orthodox,"Dec 11, 1986",182.88,185.0,185.42000000000002,Orthodox,"Oct 12, 1987"
Ben Rothwell,Junior Dos Santos,0,0,0.36,0.63,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,"April 10, 2016","Zagreb, Croatia",Heavyweight Bout,Blue,212,77,247,157,213,78,247,157,0,0,0,0,179,51,147,65,12,7,100,92,21,19,0,0,210,75,246,156,2,2,1,1,0,0,0,0,Heavyweight,5,193.04,265.0,198.12,Orthodox,"Oct 17, 1981",193.04,238.0,195.58,Orthodox,"Jan 30, 1984"
Derrick Lewis,Gabriel Gonzaga,1,0,0.68,0.71,0.0,0.16,0,0,0,2,0,0,KO/TKO,1,4:48,3 Rnd (5-5-5),Marc Goddard,"April 10, 2016","Zagreb, Croatia",Heavyweight Bout,Red,25,17,7,5,29,21,8,6,0,0,6,1,20,15,5,3,5,2,1,1,0,0,1,1,12,7,2,0,11,9,2,2,2,1,3,3,Heavyweight,3,190.5,260.0,200.66,Orthodox,"Feb 07, 1985",187.96,242.0,193.04,Orthodox,"May 18, 1979"
Francis Ngannou,Curtis Blaydes,0,0,0.42,0.41,0.0,0.33,0,0,0,1,0,0,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Kevin Sataki,"April 10, 2016","Zagreb, Croatia",Heavyweight Bout,Red,84,36,58,24,95,46,65,31,0,0,6,2,78,32,46,16,4,2,2,1,2,2,10,7,79,31,54,21,5,5,4,3,0,0,0,0,Heavyweight,3,193.04,250.0,210.82,Orthodox,"Sep 05, 1986",193.04,265.0,203.2,Orthodox,"Feb 18, 1991"
Tim Johnson,Marcin Tybura,0,0,0.35,0.47,0.0,0.33,0,0,0,1,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,"April 10, 2016","Zagreb, Croatia",Heavyweight Bout,Red,127,45,101,48,169,83,128,75,0,0,3,1,113,34,78,30,9,6,19,14,5,5,4,4,111,33,89,37,16,12,12,11,0,0,0,0,Heavyweight,3,190.5,265.0,195.58,Southpaw,"Mar 13, 1985",190.5,249.0,198.12,Orthodox,"Nov 09, 1985"
Igor Pokrajac,Jan Blachowicz,0,0,0.47,0.64,0.0,1.0,0,0,3,4,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"April 10, 2016","Zagreb, Croatia",Light Heavyweight Bout,Blue,73,35,153,98,100,61,210,148,1,0,4,4,70,33,118,70,3,2,35,28,0,0,0,0,46,15,48,23,17,11,40,29,10,9,65,46,Light Heavyweight,3,182.88,205.0,193.04,Orthodox,"Jan 02, 1979",187.96,205.0,198.12,Orthodox,"Feb 24, 1983"
Maryna Moroz,Cristina Stanciu,0,0,0.41,0.51,0.33,1.0,1,2,3,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,"April 10, 2016","Zagreb, Croatia",Women's Strawweight Bout,Red,85,35,76,39,110,55,88,50,3,1,1,1,62,18,46,15,21,16,20,14,2,1,10,10,71,22,63,30,0,0,4,1,14,13,9,8,Women's Strawweight,3,170.18,125.0,170.18,Orthodox,"Sep 08, 1991",160.02,115.0,162.56,Orthodox,"Mar 29, 1994"
Nicolas Dalby,Zak Cummings,0,1,0.38,0.35,0.0,0.33,0,1,0,3,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"April 10, 2016","Zagreb, Croatia",Welterweight Bout,Blue,150,57,158,56,163,69,183,77,1,0,3,1,103,29,132,38,24,11,19,11,23,17,7,7,139,52,150,51,9,4,1,1,2,1,7,4,Welterweight,3,180.34,170.0,187.96,Orthodox,"Nov 16, 1984",182.88,185.0,190.5,Southpaw,"Aug 02, 1984"
Ian Entwistle,Alejandro Perez,0,0,0.0,0.71,0.0,0.0,1,0,0,1,0,0,KO/TKO,1,4:04,3 Rnd (5-5-5),Grant Waterman,"April 10, 2016","Zagreb, Croatia",Bantamweight Bout,Blue,2,0,67,48,2,0,115,87,1,0,0,0,2,0,67,48,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,63,46,Bantamweight,3,165.1,135.0,162.56,Orthodox,"Nov 19, 1986",167.64000000000001,135.0,170.18,Orthodox,"Sep 02, 1989"
Mairbek Taisumov,Damir Hadzovic,1,0,0.42,0.25,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,3:44,3 Rnd (5-5-5),,"April 10, 2016","Zagreb, Croatia",Lightweight Bout,Red,59,25,43,11,59,25,43,11,0,0,0,0,48,18,40,9,5,1,2,1,6,6,1,1,59,25,42,11,0,0,1,0,0,0,0,0,Lightweight,3,175.26,155.0,185.42000000000002,Orthodox,"Aug 08, 1988",175.26,155.0,177.8,Orthodox,"Aug 08, 1986"
Filip Pejic,Damian Stasiak,0,0,0.0,0.66,0.0,1.0,0,1,1,3,0,0,Submission,1,2:16,3 Rnd (5-5-5),Marc Goddard,"April 10, 2016","Zagreb, Croatia",Bantamweight Bout,Blue,2,0,3,2,4,2,5,3,0,0,2,2,2,0,2,1,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,2,1,Bantamweight,3,172.72,135.0,177.8,Orthodox,"Jul 21, 1992",165.1,135.0,177.8,Orthodox,"Feb 20, 1990"
Rob Whiteford,Lucas Martins,0,0,0.45,0.34,0.25,0.0,0,0,1,0,0,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,"April 10, 2016","Zagreb, Croatia",Featherweight Bout,Blue,99,45,87,30,158,90,88,31,4,1,0,0,64,20,69,20,20,14,10,4,15,11,8,6,92,41,84,29,7,4,3,1,0,0,0,0,Featherweight,3,175.26,145.0,175.26,Southpaw,"Apr 12, 1983",182.88,145.0,182.88,Southpaw,"Nov 11, 1988"
Jared Cannonier,Cyril Asker,1,0,0.79,0.33,0.0,0.0,0,0,1,0,0,0,KO/TKO,1,2:44,3 Rnd (5-5-5),Grant Waterman,"April 10, 2016","Zagreb, Croatia",Heavyweight Bout,Red,34,27,39,13,34,27,39,13,0,0,3,0,22,15,35,10,9,9,4,3,3,3,0,0,24,17,38,12,4,4,1,1,6,6,0,0,Heavyweight,3,180.34,185.0,195.58,Switch,"Mar 16, 1984",182.88,247.0,187.96,Orthodox,"Dec 24, 1985"
Alessio Di Chirico,Bojan Velickovic,0,0,0.43,0.33,0.66,0.2,0,1,1,1,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,"April 10, 2016","Zagreb, Croatia",Middleweight Bout,Blue,148,65,135,45,161,78,148,56,3,2,5,1,111,40,89,16,25,16,17,9,12,9,29,20,142,61,131,43,3,2,4,2,3,2,0,0,Middleweight,3,182.88,185.0,187.96,Orthodox,"Dec 12, 1989",182.88,170.0,193.04,Southpaw,"Dec 18, 1988"
Mark Hunt,Frank Mir,1,0,0.42,0.1,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,3:01,5 Rnd (5-5-5-5-5),Marc Goddard,"March 19, 2016","Brisbane, Queensland, Australia",Heavyweight Bout,Red,19,8,10,1,19,8,11,2,0,0,3,0,14,6,10,1,2,1,0,0,3,1,0,0,19,8,10,1,0,0,0,0,0,0,0,0,Heavyweight,5,177.8,265.0,182.88,Orthodox,"Mar 23, 1974",190.5,264.0,200.66,Southpaw,"May 24, 1979"
Hector Lombard,Neil Magny,2,0,0.75,0.75,0.33,0.5,0,2,2,5,0,0,KO/TKO,3,0:46,3 Rnd (5-5-5),Steve Perceval,"March 19, 2016","Brisbane, Queensland, Australia",Welterweight Bout,Blue,79,60,197,148,95,75,250,196,3,1,2,1,71,54,181,133,3,2,13,12,5,4,3,3,21,12,69,32,9,7,16,16,49,41,112,100,Welterweight,3,175.26,185.0,180.34,Southpaw,"Feb 02, 1978",190.5,170.0,203.2,Orthodox,"Aug 03, 1987"
Jake Matthews,Johnny Case,0,0,0.31,0.35,0.0,0.16,2,0,2,1,0,0,Submission,3,4:45,3 Rnd (5-5-5),John Sharp,"March 19, 2016","Brisbane, Queensland, Australia",Lightweight Bout,Red,114,36,100,35,129,50,116,49,4,0,6,1,81,15,66,15,19,10,26,14,14,11,8,6,100,30,86,27,9,4,6,2,5,2,8,6,Lightweight,3,180.34,170.0,185.42000000000002,Orthodox,"Aug 19, 1994",177.8,155.0,182.88,Orthodox,"Jun 28, 1989"
Daniel Kelly,Antonio Carlos Junior,0,0,0.42,0.53,0.0,0.22,0,0,1,2,0,0,KO/TKO,3,1:36,3 Rnd (5-5-5),Greg Kleynjans,"March 19, 2016","Brisbane, Queensland, Australia",Middleweight Bout,Red,88,37,62,33,112,57,87,52,1,0,9,2,80,30,47,22,3,3,12,9,5,4,3,2,37,8,52,26,5,3,4,2,46,26,6,5,Middleweight,3,182.88,185.0,177.8,Southpaw,"Oct 31, 1977",187.96,185.0,200.66,Orthodox,"Mar 16, 1990"
James Te Huna,Steve Bosse,0,1,0.14,0.41,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,0:52,3 Rnd (5-5-5),Marc Goddard,"March 19, 2016","Brisbane, Queensland, Australia",Light Heavyweight Bout,Blue,7,1,12,5,7,1,12,5,0,0,0,0,4,0,8,3,3,1,3,1,0,0,1,1,7,1,12,5,0,0,0,0,0,0,0,0,Light Heavyweight,3,187.96,185.0,190.5,Orthodox,"Sep 29, 1981",180.34,205.0,182.88,Orthodox,"Jul 29, 1981"
Bec Rawlings,Seohee Ham,0,0,0.42,0.37,0.33,0.0,0,1,1,0,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,"March 19, 2016","Brisbane, Queensland, Australia",Women's Strawweight Bout,Red,183,77,247,92,199,90,276,119,3,1,2,0,156,61,202,61,27,16,38,27,0,0,7,4,164,63,231,81,11,6,11,7,8,8,5,4,Women's Strawweight,3,167.64000000000001,125.0,162.56,Orthodox,"Feb 11, 1989",157.48000000000002,115.0,157.48,Southpaw,"Mar 08, 1987"
Brendan O'Reilly,Alan Jouban,0,1,0.47,0.8,1.0,0.0,0,0,2,0,0,0,KO/TKO,1,2:15,3 Rnd (5-5-5),John Sharp,"March 19, 2016","Brisbane, Queensland, Australia",Welterweight Bout,Blue,17,8,40,32,21,12,45,37,1,1,0,0,12,3,30,22,4,4,9,9,1,1,1,1,9,3,15,11,7,5,19,16,1,0,6,5,Welterweight,3,170.18,170.0,175.26,Orthodox,"Jun 24, 1987",182.88,170.0,185.42000000000002,Southpaw,"Nov 25, 1981"
Dan Hooker,Mark Eddiva,0,0,0.55,0.5,0.0,0.0,1,0,1,0,0,0,Submission,1,1:24,3 Rnd (5-5-5),Greg Kleynjans,"March 19, 2016","Brisbane, Queensland, Australia",Featherweight Bout,Red,9,5,8,4,10,6,12,7,0,0,2,0,5,2,4,1,2,2,3,2,2,1,1,1,8,4,8,4,1,1,0,0,0,0,0,0,Featherweight,3,182.88,155.0,190.5,Switch,"Feb 13, 1990",172.72,145.0,172.72,Orthodox,"Feb 16, 1986"
Leslie Smith,Rin Nakai,0,0,0.34,0.33,0.0,0.23,0,1,0,5,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,"March 19, 2016","Brisbane, Queensland, Australia",Women's Bantamweight Bout,Red,181,62,92,31,193,72,124,58,0,0,13,3,167,51,81,26,14,11,9,4,0,0,2,1,176,59,80,22,5,3,12,9,0,0,0,0,Women's Bantamweight,3,175.26,135.0,167.64000000000001,Orthodox,"Aug 17, 1982",154.94,135.0,152.4,Orthodox,"Oct 22, 1986"
Richard Walsh,Viscardi Andrade,1,0,0.35,0.43,0.33,0.62,0,1,0,3,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"March 19, 2016","Brisbane, Queensland, Australia",Welterweight Bout,Blue,130,46,88,38,171,82,139,78,3,1,8,5,108,37,77,30,15,4,8,5,7,5,3,3,112,33,76,31,4,3,4,1,14,10,8,6,Welterweight,3,182.88,170.0,185.42000000000002,,"Dec 01, 1988",180.34,170.0,190.5,Orthodox,"Mar 08, 1984"
Ross Pearson,Chad Laprise,0,0,0.33,0.36,0.0,0.0,0,0,0,0,0,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,"March 19, 2016","Brisbane, Queensland, Australia",Lightweight Bout,Red,155,52,214,78,156,52,214,78,1,0,0,0,108,21,194,63,22,10,14,9,25,21,6,6,155,52,212,78,0,0,2,0,0,0,0,0,Lightweight,3,172.72,155.0,175.26,Orthodox,"Sep 26, 1984",177.8,170.0,180.34,Orthodox,"Jul 23, 1986"
Alan Patrick,Damien Brown,0,0,0.64,0.6,0.71,0.33,1,1,10,2,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,"March 19, 2016","Brisbane, Queensland, Australia",Lightweight Bout,Red,39,25,25,15,147,117,64,51,7,5,3,1,36,23,21,13,2,1,3,2,1,1,1,0,12,7,11,6,0,0,2,1,27,18,12,8,Lightweight,3,180.34,155.0,187.96,Southpaw,"Jul 19, 1983",177.8,155.0,172.72,Orthodox,"Dec 25, 1984"
Conor McGregor,Nate Diaz,0,0,0.43,0.5,0.0,1.0,0,2,0,1,1,0,Submission,2,4:12,5 Rnd (5-5-5-5-5),Herb Dean,"March 05, 2016","Las Vegas, Nevada, USA",Welterweight Bout,Blue,140,61,152,77,145,66,169,89,1,0,1,1,117,47,131,65,11,7,13,9,12,7,8,3,133,56,133,62,4,3,12,10,3,2,7,5,Welterweight,5,175.26,155.0,187.96,Southpaw,"Jul 14, 1988",182.88,170.0,193.04,Southpaw,"Apr 16, 1985"
Holly Holm,Miesha Tate,0,0,0.41,0.38,0.0,0.22,0,2,0,3,0,0,Submission,5,3:30,5 Rnd (5-5-5-5-5),John McCarthy,"March 05, 2016","Las Vegas, Nevada, USA",UFC Women's Bantamweight Title Bout,Blue,142,59,104,40,151,68,132,65,0,0,9,2,109,35,83,29,21,16,12,7,12,8,9,4,139,57,88,26,3,2,4,4,0,0,12,10,Women's Bantamweight,5,172.72,145.0,175.26,Southpaw,"Oct 17, 1981",167.64000000000001,135.0,165.1,Orthodox,"Aug 18, 1986"
Gian Villante,Ilir Latifi,0,0,0.33,0.56,0.0,0.25,0,0,0,1,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"March 05, 2016","Las Vegas, Nevada, USA",Light Heavyweight Bout,Blue,68,23,53,30,79,32,59,36,1,0,12,3,46,14,41,21,16,5,8,6,6,4,4,3,62,19,39,19,6,4,10,8,0,0,4,3,Light Heavyweight,3,190.5,205.0,193.04,Orthodox,"Aug 18, 1985",177.8,205.0,185.42000000000002,Orthodox,"Jul 28, 1983"
Corey Anderson,Tom Lawlor,0,0,0.35,0.31,0.25,1.0,0,0,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"March 05, 2016","Las Vegas, Nevada, USA",Light Heavyweight Bout,Red,153,55,99,31,178,79,100,32,4,1,1,1,127,33,94,28,13,10,4,2,13,12,1,1,142,48,87,21,6,3,12,10,5,4,0,0,Light Heavyweight,3,190.5,205.0,200.66,Orthodox,"Sep 22, 1989",182.88,205.0,187.96,Southpaw,"May 15, 1983"
Amanda Nunes,Valentina Shevchenko,0,0,0.48,0.41,0.33,1.0,2,0,4,1,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"March 05, 2016","Las Vegas, Nevada, USA",Women's Bantamweight Bout,Red,81,39,67,28,112,66,99,56,6,2,1,1,53,21,58,22,11,6,6,3,17,12,3,3,50,20,51,16,0,0,8,5,31,19,8,7,Women's Bantamweight,3,172.72,145.0,175.26,Orthodox,"May 30, 1988",165.1,125.0,167.64000000000001,Southpaw,"Mar 07, 1988"
Brandon Thatch,Siyar Bahadurzada,0,0,0.56,0.6,0.5,1.0,0,1,0,4,0,1,Submission,3,4:11,3 Rnd (5-5-5),John McCarthy,"March 05, 2016","Las Vegas, Nevada, USA",Welterweight Bout,Blue,53,30,138,84,85,57,235,170,2,1,3,3,33,16,118,67,9,5,18,15,11,9,2,2,43,21,49,18,7,6,25,19,3,3,64,47,Welterweight,3,187.96,170.0,187.96,Switch,"Jul 11, 1985",180.34,170.0,185.42000000000002,Orthodox,"Apr 17, 1984"
Erick Silva,Nordine Taleb,0,1,0.34,0.52,0.0,1.0,0,0,0,0,0,0,KO/TKO,2,1:34,3 Rnd (5-5-5),Herb Dean,"March 05, 2016","Las Vegas, Nevada, USA",Welterweight Bout,Blue,32,11,50,26,32,11,50,26,1,0,1,1,14,2,34,10,10,6,5,5,8,3,11,11,32,11,45,22,0,0,2,2,0,0,3,2,Welterweight,3,182.88,170.0,187.96,Orthodox,"Jun 21, 1984",185.42,170.0,187.96,Orthodox,"Jun 10, 1981"
Vitor Miranda,Marcelo Guimaraes,0,0,0.64,0.52,0.0,0.2,0,0,0,0,0,0,KO/TKO,2,1:09,3 Rnd (5-5-5),Chris Tognoni,"March 05, 2016","Las Vegas, Nevada, USA",Middleweight Bout,Red,71,46,44,23,87,61,53,31,0,0,5,1,58,38,22,6,10,6,8,4,3,2,14,13,45,21,37,19,26,25,6,3,0,0,1,1,Middleweight,3,185.42,185.0,195.58,Orthodox,"Mar 10, 1979",182.88,185.0,185.42000000000002,Orthodox,"Jun 25, 1983"
Darren Elkins,Chas Skelly,0,0,0.67,0.37,0.63,0.0,0,2,4,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"March 05, 2016","Las Vegas, Nevada, USA",Featherweight Bout,Red,153,104,72,27,255,193,83,32,11,7,1,0,118,73,65,23,29,26,7,4,6,5,0,0,65,24,62,20,36,32,8,5,52,48,2,2,Featherweight,3,177.8,145.0,180.34,Orthodox,"May 16, 1984",180.34,145.0,182.88,Orthodox,"May 11, 1985"
Diego Sanchez,Jim Miller,0,0,0.38,0.48,0.22,0.0,0,0,2,1,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"March 05, 2016","Las Vegas, Nevada, USA",Lightweight Bout,Red,125,48,115,56,148,71,120,61,9,2,1,0,101,35,92,37,21,12,13,10,3,1,10,9,116,40,104,48,4,3,7,4,5,5,4,4,Lightweight,3,177.8,170.0,182.88,Southpaw,"Dec 31, 1981",172.72,155.0,180.34,Southpaw,"Aug 30, 1983"
Jason Saggo,Justin Salas,0,0,0.57,0.33,0.0,1.0,0,0,2,0,1,0,KO/TKO,1,4:31,3 Rnd (5-5-5),Yves Lavigne,"March 05, 2016","Las Vegas, Nevada, USA",Lightweight Bout,Red,35,20,3,1,56,31,4,2,0,0,1,1,33,19,1,0,0,0,1,1,2,1,1,0,7,1,3,1,0,0,0,0,28,19,0,0,Lightweight,3,180.34,155.0,180.34,Orthodox,"Nov 23, 1985",172.72,155.0,177.8,Southpaw,"Mar 13, 1982"
Julian Erosa,Teruto Ishihara,0,1,0.36,0.52,1.0,0.0,0,0,1,1,0,0,KO/TKO,2,0:34,3 Rnd (5-5-5),Chris Tognoni,"March 05, 2016","Las Vegas, Nevada, USA",Featherweight Bout,Blue,44,16,51,27,52,24,55,31,1,1,0,0,27,4,42,19,13,9,3,3,4,3,6,5,38,14,39,22,4,2,4,1,2,0,8,4,Featherweight,3,185.42,145.0,187.96,Southpaw,"Jul 31, 1989",170.18,135.0,175.26,Southpaw,"Jul 23, 1991"
Anderson Silva,Michael Bisping,1,1,0.55,0.34,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"February 27, 2016","London, England, United Kingdom",Middleweight Bout,Blue,135,75,316,108,135,75,320,112,0,0,1,0,104,47,251,58,18,15,20,12,13,13,45,38,126,69,299,98,5,4,6,4,4,2,11,6,Middleweight,5,187.96,185.0,195.58,Southpaw,"Apr 14, 1975",185.42,185.0,190.5,Orthodox,"Feb 28, 1979"
Gegard Mousasi,Thales Leites,0,0,0.47,0.24,0.0,0.0,0,0,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"February 27, 2016","London, England, United Kingdom",Middleweight Bout,Red,171,81,70,17,187,95,72,19,0,0,10,0,141,55,60,12,11,11,3,0,19,15,7,5,154,66,69,17,9,9,1,0,8,6,0,0,Middleweight,3,187.96,185.0,193.04,Orthodox,"Aug 01, 1985",185.42,185.0,198.12,Orthodox,"Sep 06, 1981"
Tom Breese,Keita Nakamura,0,0,0.54,0.37,0.0,0.5,1,1,2,4,1,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"February 27, 2016","London, England, United Kingdom",Welterweight Bout,Red,59,32,16,6,121,88,27,16,0,0,6,3,50,26,9,4,7,4,5,2,2,2,2,0,31,13,15,6,11,9,1,0,17,10,0,0,Welterweight,3,190.5,185.0,185.42000000000002,Southpaw,"Sep 26, 1991",180.34,170.0,185.42000000000002,Southpaw,"May 22, 1984"
Francisco Rivera,Brad Pickett,0,0,0.41,0.28,1.0,0.6,0,0,0,3,0,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Neil Hall,"February 27, 2016","London, England, United Kingdom",Bantamweight Bout,Blue,165,69,137,39,165,69,163,64,2,2,5,3,152,59,86,13,4,2,22,14,9,8,29,12,162,66,129,34,3,3,3,2,0,0,5,3,Bantamweight,3,172.72,135.0,172.72,Orthodox,"Oct 08, 1981",167.64000000000001,135.0,172.72,Orthodox,"Sep 24, 1978"
